gid;Modelo;Num. Banco;Emplazamiento;Num. Policia;Distrito;Barrio;Año Instalacion;geo_point_2d
316;;3784;AVINGUDA ANTONIO FERRANDIS (ACTOR) 8;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.450363091674255, -0.35960517293273675
317;;3783;AVINGUDA ANTONIO FERRANDIS (ACTOR) 8;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.45037570474701, -0.35962499416672167
319;;3781;AVINGUDA ANTONIO FERRANDIS (ACTOR) 8;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.45038920869979, -0.3596611497912785
321;;3779;AVINGUDA ANTONIO FERRANDIS (ACTOR) 8;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.45042882993888, -0.3595946715464294
322;;3777;AVINGUDA ANTONIO FERRANDIS (ACTOR) 8;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.4504333341317, -0.35963082804256924
325;;3774;AVINGUDA ANTONIO FERRANDIS (ACTOR) 8;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.45054319750951, -0.35936262016081616
333;;3765;AVINGUDA ANTONIO FERRANDIS (ACTOR) 14;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44961385474803, -0.3615550175154819
335;;3763;AVINGUDA ANTONIO FERRANDIS (ACTOR) 14;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44955353225224, -0.36158650714360135
336;;3762;AVINGUDA ANTONIO FERRANDIS (ACTOR) 14;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44949319886762, -0.3615701729317889
339;;3759;AVINGUDA ANTONIO FERRANDIS (ACTOR) 16;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44944997347254, -0.36173577200517065
346;;3750;AVINGUDA ANTONIO FERRANDIS (ACTOR) 16;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.449357206587166, -0.3620937932541962
348;;3748;AVINGUDA ANTONIO FERRANDIS (ACTOR) 16;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44934190024829, -0.3621754259479945
353;;3742;AVINGUDA ANTONIO FERRANDIS (ACTOR) 18;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44922841105626, -0.36234802649321524
354;;3741;AVINGUDA ANTONIO FERRANDIS (ACTOR) 18;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.449183383652404, -0.3622967165880098
355;;3740;AVINGUDA ANTONIO FERRANDIS (ACTOR) 18;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44926262677279, -0.3623340259641621
356;;3739;AVINGUDA ANTONIO FERRANDIS (ACTOR) 18;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44922300537291, -0.3623993372241638
358;;3737;AVINGUDA ANTONIO FERRANDIS (ACTOR) 18;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44925902264186, -0.3623876693756136
361;;3734;AVINGUDA ANTONIO FERRANDIS (ACTOR) 18;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.4491095462251, -0.36267919908024554
362;;3732;AVINGUDA ANTONIO FERRANDIS (ACTOR) 18;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.449118555994936, -0.362709534278686
365;;3729;;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.45069262902575, -0.3641649284495022
370;;3723;CARRER JAUME GASSULL 8;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44885015241927, -0.36332762339377433
372;;3721;CARRER JAUME GASSULL 8;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44871689219088, -0.3636028715850793
375;;3718;CARRER JAUME GASSULL 8;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.448596224907924, -0.36369149093286773
377;BANCO NEOBARCINO;3867;CARRER RAMON LLULL 12;;13 - ALGIROS;5 - LA CARRASCA;;39.47582647793322, -0.346789162416005
379;BANCO NEOBARCINO;3864;CARRER BERNAT FENOLLAR 2ac;;13 - ALGIROS;4 - LA VEGA BAIXA;;39.47723763280592, -0.3484092174254867
385;BANCO NEOBARCINO;3857;CARRER JOSEP D´ORGA 2;;13 - ALGIROS;2 - CIUTAT JARDI;;39.46974995499054, -0.3451631114217634
388;BANCO NEOBARCINO;3854;CARRER JOSEP D´ORGA 8;;13 - ALGIROS;2 - CIUTAT JARDI;;39.47010774696491, -0.34509766554152227
391;BANCO NEOBARCINO;3850;CARRER JOSE MARIA HARO (MAGISTRAT) 47;;13 - ALGIROS;5 - LA CARRASCA;;39.47186243902712, -0.3379066478561777
392;;3664;CARRER PINTOR SABATER 20;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44756243592365, -0.36631540259604084
402;NEOBARCINO;4293;CARRETERA PI 27ac;;19 - POBLATS DEL SUD;2 - CASTELLAR-L'OLIVERAL;;39.42642204793265, -0.3617382013244403
404;NEOBARCINO;4291;ENTRADOR ROSELD 8;;19 - POBLATS DEL SUD;2 - CASTELLAR-L'OLIVERAL;;39.42601492855315, -0.36164030001469494
406;NEOBARCINO;4289;AVINGUDA DOCTOR RUIZ I COMES 84;;19 - POBLATS DEL SUD;2 - CASTELLAR-L'OLIVERAL;;39.42567721450567, -0.3617596583098887
412;NEOBARCINO;4282;PLAÇA MARE DE DÉU DEL LEPANT 22;;19 - POBLATS DEL SUD;2 - CASTELLAR-L'OLIVERAL;;39.429733896907, -0.36347744440043855
413;NEOBARCINO;4281;PLAÇA MARE DE DÉU DEL LEPANT 22;;19 - POBLATS DEL SUD;2 - CASTELLAR-L'OLIVERAL;;39.429748399324545, -0.3634774446113014
