gid;Modelo;Num. Banco;Emplazamiento;Num. Policia;Distrito;Barrio;Año Instalacion;geo_point_2d
4043;PIEDRA;1029;CARRER GUILLEM DE CASTRO 86ac;139;1 - CIUTAT VELLA;3 - EL CARME;;39.47557407772497, -0.3839296514628035
4047;PIEDRA;1025;PLAÇA SANTA ÚRSULA 1;139;1 - CIUTAT VELLA;3 - EL CARME;;39.47571802825304, -0.3839616166287152
4049;OTROS;1022;PLAÇA SANTA ÚRSULA 2;0;1 - CIUTAT VELLA;3 - EL CARME;;39.47595945202969, -0.3836141466952042
4059;PIEDRA;1010;CARRER CAVALLERS 33;1;1 - CIUTAT VELLA;3 - EL CARME;;39.47668487320145, -0.37849581211658123
4065;PIEDRA;1000;CARRER BLANQUERIA 1ac;1;1 - CIUTAT VELLA;3 - EL CARME;;39.47934374876508, -0.3760032886930193
4070;;6106;CARRER JOSÉ ANDREU ALABARTA, 32;;8 - PATRAIX;2 - SANT ISIDRE;;39.45210669735884, -0.4036960829095019
4072;;6108;CARRER JOSÉ ANDREU ALABARTA, 45ac;;8 - PATRAIX;2 - SANT ISIDRE;;39.451286542717725, -0.4029799328312058
4075;;6111;CARRER GREMIS, 69;;8 - PATRAIX;2 - SANT ISIDRE;;39.45038974747027, -0.40388115484669
4078;;6114;CARRER GREMIS, 55;;8 - PATRAIX;2 - SANT ISIDRE;;39.45119532944898, -0.404452157706848
4079;;6115;CARRER GREMIS, 53;;8 - PATRAIX;2 - SANT ISIDRE;;39.45154120421313, -0.4046975796565559
4082;;6118;CARRER CAMPOS CRESPO, 86;;8 - PATRAIX;2 - SANT ISIDRE;;39.45181976722428, -0.4020073235244907
4087;;6123;CARRER DOCTOR RAFAEL BARTUAL, 25;;8 - PATRAIX;2 - SANT ISIDRE;;39.4539169801997, -0.40360236016972106
4094;OTROS;1204;CARRER ALBORAIA 68ac;66;5 - LA SAIDIA;3 - TRINITAT;;39.48638226195963, -0.3682072071663725
4095;OTROS;1202;CARRER COFRENTS 8ac;65;5 - LA SAIDIA;3 - TRINITAT;;39.48645860553205, -0.368389926719512
4096;OTROS;1201;CARRER COFRENTS 8ac;65;5 - LA SAIDIA;3 - TRINITAT;;39.48644472506284, -0.36838126564659723
4100;MEDITERRANEO;1194;CARRER ALBORAIA 49;49;5 - LA SAIDIA;3 - TRINITAT;;39.484892922686356, -0.3692805318391904
4104;MEDITERRANEO;1190;CARRER ALBORAIA 46;46;5 - LA SAIDIA;3 - TRINITAT;;39.48445633229734, -0.36916958598873106
4109;OTROS;1184;CARRER ALBORAIA 41;41;5 - LA SAIDIA;3 - TRINITAT;;39.484011954077694, -0.3696247119600659
4110;OTROS;1183;CARRER ALBORAIA 41;44;5 - LA SAIDIA;3 - TRINITAT;;39.48397875692971, -0.36948185116006693
4116;MEDITERRANEO;118;CARRER POLO I PEYROLÓN 2;2;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47123609845449, -0.35598372174637155
4125;MEDITERRANEO;105;CARRER POLO I PEYROLÓN 31ac;9;6 - EL PLA DEL REAL;2 - MESTALLA;;39.473283427428825, -0.35521080699399593
4126;MEDITERRANEO;104;CARRER CARAVACA 11;11;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47319541464082, -0.3549025985555242
4130;ROMANTICO;100;CARRER CIUTAT DE MULA 8;8;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47438953410042, -0.35468369412082174
4141;PIEDRA;992;CARRER BLANQUERIA 1ac;1;1 - CIUTAT VELLA;3 - EL CARME;;39.479192450653734, -0.37626281929585675
4143;ROMANTICO;990;CARRER BLANQUERIA 5;5;1 - CIUTAT VELLA;3 - EL CARME;;39.47959429670231, -0.3765924153180538
4144;ROMANTICO;988;CARRER BLANQUERIA 5;5;1 - CIUTAT VELLA;3 - EL CARME;;39.47963701826541, -0.3766152450582309
4156;PIEDRA;1073;CARRER LLIBRERS 1ac;7;1 - CIUTAT VELLA;2 - LA XEREA;;39.472811967342096, -0.3743239936347154
4157;PIEDRA;1072;CARRER POETA QUEROL 2;0;1 - CIUTAT VELLA;2 - LA XEREA;;39.47247702970869, -0.37449904661926237
4158;;6125;CARRER DOCTOR RAFAEL BARTUAL, 28;;8 - PATRAIX;2 - SANT ISIDRE;;39.453788575660745, -0.4042836410035369
4159;;6126;CARRER ARQUITECTE SEGURA DE LAGO, 28;;8 - PATRAIX;2 - SANT ISIDRE;;39.45356490405189, -0.40310346930795227
4160;;6127;CARRER ARQUITECTE SEGURA DE LAGO, 21ac;;8 - PATRAIX;2 - SANT ISIDRE;;39.45320247064137, -0.4026474942563782
4164;;6131;CARRER IGNACIO ZULOAGA, 18;;10 - QUATRE CARRERES;6 - LA PUNTA;;39.4487091801256, -0.3356928516725845
4165;;6132;CARRER CASTELL DE POP, 1ac;;10 - QUATRE CARRERES;6 - LA PUNTA;;39.448533129799166, -0.33570223939101607
4172;;6139;CARRER MANUEL ANDRÉS, 5;;11 - POBLATS MARITIMS;5 - NATZARET;;39.44784963298816, -0.3335363559994972
4175;;6142;CARRER MANUEL ANDRÉS, 5;;11 - POBLATS MARITIMS;5 - NATZARET;;39.447827885598265, -0.333403586042475
4176;;6143;CARRER CASTELL DE POP, 34;;11 - POBLATS MARITIMS;5 - NATZARET;;39.4480267211528, -0.33314207026771786
4177;;6144;CARRER CASTELL DE POP, 34;;11 - POBLATS MARITIMS;5 - NATZARET;;39.448002902663895, -0.33315682312469425
4181;MEDITERRANEO;1177;CARRER CONVENT DELS CARMELITES 1;5;5 - LA SAIDIA;3 - TRINITAT;;39.48350334299708, -0.3712870519266596
4182;MEDITERRANEO;1176;CARRER CONVENT DELS CARMELITES 1;5;5 - LA SAIDIA;3 - TRINITAT;;39.48352280268742, -0.371362350459569
4185;OTROS;1168;CARRER ALBORAIA 21;0;5 - LA SAIDIA;3 - TRINITAT;;39.48175415558161, -0.3707849913168321
4190;OTROS;1162;CARRER ALBORAIA 10;8;5 - LA SAIDIA;3 - TRINITAT;;39.48073940731299, -0.3711497406358518
4192;OTROS;1159;CARRER ALBORAIA 3ac;1;5 - LA SAIDIA;3 - TRINITAT;;39.47995000928423, -0.3720098546630294
4193;OTROS;1158;CARRER TRINITAT 13;1;5 - LA SAIDIA;3 - TRINITAT;;39.47992546988883, -0.3720285999576478
4194;OTROS;1157;CARRER ALBORAIA 3ac;2;5 - LA SAIDIA;3 - TRINITAT;;39.47992439473089, -0.37178986222650245
4201;MEDITERRANEO;1148;CARRER CAVANILLES 20;0;5 - LA SAIDIA;3 - TRINITAT;;39.48259129309698, -0.3649309816658498
4203;ROMANTICO;87;AVINGUDA BLASCO IBÁÑEZ 70;72;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47516167191321, -0.3533735700020967
4204;ROMANTICO;86;AVINGUDA BLASCO IBÁÑEZ 70;72;6 - EL PLA DEL REAL;2 - MESTALLA;;39.4751911194561, -0.35349491443973136
4212;PIEDRA;56;CARRER BÈLGICA 3ac;1;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47300312561117, -0.3563275417440912
4213;PIEDRA;84;AVINGUDA ARAGÓ 40;18;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47423867304702, -0.3558414951353872
4214;PIEDRA;85;CARRER CIUTAT DE MULA 2ac;18;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47427266073703, -0.3557368696675933
4216;PIEDRA;81;AVINGUDA ARAGÓ 40;18;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47415634757719, -0.3560405022306871
4217;PIEDRA;79;AVINGUDA ARAGÓ 38;18;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47410094692474, -0.35607350910148117
4218;PIEDRA;78;AVINGUDA ARAGÓ 38;18;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47407193245274, -0.35609303223446953
4231;ROMANTICO;1048;PLAÇA NÀPOLS I SICÍLIA 4;4;1 - CIUTAT VELLA;2 - LA XEREA;;39.475653021796816, -0.37290287165230657
4243;;6170;CARRER DALT DE LA MAR, 56;;11 - POBLATS MARITIMS;5 - NATZARET;;39.450101002485816, -0.3336624198133298
4244;MEDITERRANEO;6183;CARRER SAGUNT, 192;;5 - LA SAIDIA;5 - SANT ANTONI;;39.49176201180108, -0.3740733619210727
4250;;6296;CARRER BERBENA, 9;;16 - BENICALAP;1 - BENICALAP;;39.49391839658393, -0.3909036025547143
4252;;6298;CARRER BERBENA, 7dup;;16 - BENICALAP;1 - BENICALAP;;39.49381904361245, -0.3909679755389254
4257;;6303;CARRER CARLOS CLIMENT GONZÁLEZ (JURISTA), 9;;16 - BENICALAP;1 - BENICALAP;;39.49638456647479, -0.38996482956103434
4258;;6304;CARRER CARLOS CLIMENT GONZÁLEZ (JURISTA), 11;;16 - BENICALAP;1 - BENICALAP;;39.4965708452688, -0.3896845389615162
4268;MEDITERRANEO;1405;CARRER JOSEP ALMINYANA I VALLÉS (SACERDOT) 4;0;4 - CAMPANAR;4 - SANT PAU;;39.48554368963206, -0.40459233751597024
4270;PIEDRA;1285;AVINGUDA TAMARINDES 17ac;0;4 - CAMPANAR;4 - SANT PAU;;39.47672562492002, -0.40207841528928195
4271;PIEDRA;1286;AVINGUDA TAMARINDES 17ac;0;4 - CAMPANAR;4 - SANT PAU;;39.476763514657605, -0.4020856071048841
4272;PIEDRA;1287;AVINGUDA TAMARINDES 17ac;0;4 - CAMPANAR;4 - SANT PAU;;39.476817408688454, -0.4021087217202184
4274;PIEDRA;1283;AVINGUDA TAMARINDES 8ac;3;4 - CAMPANAR;4 - SANT PAU;;39.476387410033816, -0.4019596941195396
4275;PIEDRA;1282;CARRER SANTA PAULA MONTAL 1ac;3;4 - CAMPANAR;4 - SANT PAU;;39.47637099456543, -0.40207165621397617
4276;PIEDRA;1281;CARRER SANTA PAULA MONTAL 1ac;3;4 - CAMPANAR;4 - SANT PAU;;39.47628006678336, -0.40204417775389206
4283;PIEDRA;1273;AVINGUDA TAMARINDES 3;3;4 - CAMPANAR;4 - SANT PAU;;39.47607127686017, -0.4019792385093473
4285;PIEDRA;1271;AVINGUDA TAMARINDES 3;3;4 - CAMPANAR;4 - SANT PAU;;39.47601854951458, -0.4020397418554505
4292;PIEDRA;69;CARRER CARAVACA 1ac;12;6 - EL PLA DEL REAL;2 - MESTALLA;;39.473594170491914, -0.35632467272275054
4293;PIEDRA;66;CARRER CARAVACA 2ac;12;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47348159036048, -0.3563758624916979
4298;PIEDRA;60;CARRER CARAVACA 2ac;12;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47324917676641, -0.35632255842838667
4301;PIEDRA;58;CARRER BÈLGICA 3ac;12;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47317684602249, -0.3562770471857558
4303;MEDITERRANEO;347;CARRER PUERTO RICO 52;52;2 - L'EIXAMPLE;1 - RUSSAFA;;39.4606018170235, -0.377586480382973
4304;MEDITERRANEO;346;CARRER PUERTO RICO 45;45;2 - L'EIXAMPLE;1 - RUSSAFA;;39.460608348608496, -0.37733457615065946
4306;MEDITERRANEO;341;CARRER PUERTO RICO 11;11;2 - L'EIXAMPLE;1 - RUSSAFA;;39.4616921925562, -0.37475112731247484
4309;PIEDRA;1091;CARRER VICIANA 5;10;1 - CIUTAT VELLA;1 - LA SEU;;39.47776604586079, -0.37333945751601905
4313;PIEDRA;1081;PLAÇA ESCOLANIA DE LA MARE DE DÉU DELS DESEMPARATS 5ac;0;1 - CIUTAT VELLA;1 - LA SEU;;39.47646060563062, -0.37495432158455233
4314;MEDITERRANEO;1075;CARRER COMTE DE TRÉNOR 9;16;1 - CIUTAT VELLA;1 - LA SEU;;39.47905722390169, -0.37520946805544375
4318;mediterraneo;4392;CARRER CUBA 53;;2 - L'EIXAMPLE;1 - RUSSAFA;;39.459977263998454, -0.3755489837229955
4323;mediterraneo;4398;AVINGUDA GASPAR AGUILAR 22;;8 - PATRAIX;1 - PATRAIX;;39.45734152929013, -0.3898898827349757
4324;mediterraneo;4399;AVINGUDA GASPAR AGUILAR 18;;8 - PATRAIX;1 - PATRAIX;;39.457527001777876, -0.389770927450872
4325;mediterraneo;4400;AVINGUDA GASPAR AGUILAR 16;;8 - PATRAIX;1 - PATRAIX;;39.45762245042633, -0.3897102819281911
4326;mediterraneo;4401;AVINGUDA GASPAR AGUILAR 20;;8 - PATRAIX;1 - PATRAIX;;39.457438759549724, -0.3898362390507165
4327;mediterraneo;4403;CARRER JOSEP SOTO MICO 47ac;;9 - JESUS;5 - CAMI REAL;;39.43967063196282, -0.38891064563795796
4331;;6253;AVINGUDA PORTUGAL, 63;;5 - LA SAIDIA;1 - MARXALENES;;39.48709567376822, -0.38483119926328463
4335;;6257;AVINGUDA PORTUGAL, 59;;5 - LA SAIDIA;1 - MARXALENES;;39.48714742406546, -0.38463807949699286
4336;;6258;AVINGUDA PORTUGAL, 59;;5 - LA SAIDIA;1 - MARXALENES;;39.48713086408826, -0.3846327150795135
4337;;6259;AVINGUDA PORTUGAL, 57;;5 - LA SAIDIA;1 - MARXALENES;;39.48718779052464, -0.3844395963416095
4344;;6319;CARRER JUAN DE L´ENCINA, 5ac;;16 - BENICALAP;1 - BENICALAP;;39.49184398139699, -0.39145315034783923
4347;;6322;CARRER JUAN DE L´ENCINA, 4ac;;16 - BENICALAP;1 - BENICALAP;;39.491849155943996, -0.39137939010642314
4348;Neobarcino;6347;PLAÇA SANTIAGO SUÁREZ (SANTI), 9ac;;9 - JESUS;3 - LA CREU COBERTA;2022;39.45206363719781, -0.3879569359866582
4350;Mediterraneo;6349;CARRETERA MALILLA, 36;;10 - QUATRE CARRERES;3 - MALILLA;2022;39.45210116716759, -0.37893187082812785
4356;PIEDRA;1263;AVINGUDA TAMARINDES 1;1;4 - CAMPANAR;4 - SANT PAU;;39.4756730903993, -0.4018556951733807
4359;PIEDRA;1260;AVINGUDA TAMARINDES 1;1;4 - CAMPANAR;4 - SANT PAU;;39.47572412829948, -0.4019513239236201
4361;PIEDRA;1145;PLAÇA GRUP PARPALLÓ 10;10;4 - CAMPANAR;4 - SANT PAU;;39.47623766341178, -0.4008529224829654
4363;PIEDRA;1143;PLAÇA GRUP PARPALLÓ 9;8;4 - CAMPANAR;4 - SANT PAU;;39.47604565636525, -0.39999423802502687
4367;PIEDRA;1138;CARRER EDUARD SOLER I PÉREZ 3;0;4 - CAMPANAR;4 - SANT PAU;;39.476437452365914, -0.3997467226435859
4371;PIEDRA;1134;CARRER EDUARD SOLER I PÉREZ 5;0;4 - CAMPANAR;4 - SANT PAU;;39.4768417480573, -0.4001061805594895
4374;PIEDRA;1130;PLAÇA GRUP PARPALLÓ 10;0;4 - CAMPANAR;4 - SANT PAU;;39.47637826020485, -0.40070412417876455
4376;PIEDRA;1128;PLAÇA GRUP PARPALLÓ 16;0;4 - CAMPANAR;4 - SANT PAU;;39.476690728358264, -0.4008276457684497
4382;MEDITERRANEO;334;CARRER CARLES CERVERA 40ac;53;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46102715991561, -0.37291232664295004
4384;MEDITERRANEO;331;CARRER REINA NA MARIA 6;6;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46125838696454, -0.37204079304555204
4386;MEDITERRANEO;328;CARRER MOSSÉN FEMENIA 19ac;17;2 - L'EIXAMPLE;1 - RUSSAFA;;39.462152832062145, -0.37356100275742116
4389;MEDITERRANEO;324;CARRER MOSSÉN FEMENIA 5;5;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46211961591661, -0.37251637066053855
4390;MEDITERRANEO;323;CARRER MOSSÉN FEMENIA 1;1;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46210862797802, -0.37219614298417114
4392;SILLA MEDITERRANEO;321;CARRER DOCTOR SERRANO 5;2;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46257763352057, -0.3725148264137364
4394;MEDITERRANEO;316;PLAÇA DOCTOR LANDETE 8;9;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46315232466412, -0.37192802389343393
4400;ROMANTICO;4414;AVINGUDA DOCTOR TOMÀS SALA 31ac;;9 - JESUS;4 - SANT MARCEL.LI;;39.44721462613006, -0.38873185629352547
4401;ROMANTICO;4415;AVINGUDA DOCTOR TOMÀS SALA 39;;9 - JESUS;4 - SANT MARCEL.LI;;39.446939069647726, -0.38757968627364175
4404;ROMANTICO;4419;AVINGUDA DOCTOR TOMÀS SALA 37ac;;9 - JESUS;4 - SANT MARCEL.LI;;39.44701651287839, -0.3878992187233644
4405;MEDITERRANEO;4420;AVINGUDA DOCTOR TOMÀS SALA 39;;9 - JESUS;4 - SANT MARCEL.LI;;39.44699128519846, -0.3872484875168425
4406;MEDITERRANEO;4421;AVINGUDA DOCTOR TOMÀS SALA 45;;9 - JESUS;4 - SANT MARCEL.LI;;39.44692285161536, -0.38673304785262164
4416;mediterraneo;4433;AVINGUDA FERNANDO ABRIL MARTORELL 82;;10 - QUATRE CARRERES;3 - MALILLA;;39.446025046603474, -0.38159131941334695
4419;mediterraneo;4437;CAMÍ VELL MALILLA 47;;10 - QUATRE CARRERES;3 - MALILLA;;39.44572063249017, -0.37888003560768985
4420;romantico;4438;AVINGUDA FERNANDO ABRIL MARTORELL 36;;10 - QUATRE CARRERES;3 - MALILLA;;39.44562878160647, -0.3787739145103507
4423;;6274;CARRER FLORISTA, 15;;16 - BENICALAP;1 - BENICALAP;;39.490433734040955, -0.3915661086019314
4424;;6275;CARRER FLORISTA, 15;;16 - BENICALAP;1 - BENICALAP;;39.49045236366936, -0.3916090242363789
4425;;6276;CARRER FLORISTA, 17;;16 - BENICALAP;1 - BENICALAP;;39.49050204252658, -0.3916760789377734
4427;;6278;CARRER SERRA GROSSA, 2ac;;16 - BENICALAP;1 - BENICALAP;;39.490603469816065, -0.39177263906010457
4431;;6282;PLAÇA NOVA DE L´ESGLÉSIA, 1;;16 - BENICALAP;1 - BENICALAP;;39.49224284067663, -0.3916291405184096
4434;;6285;PLAÇA NOVA DE L´ESGLÉSIA, 6;;16 - BENICALAP;1 - BENICALAP;;39.49210933284313, -0.39155135595997637
4438;;6289;PLAÇA NOVA DE L´ESGLÉSIA, 4;;16 - BENICALAP;1 - BENICALAP;;39.49196547550088, -0.39117718796046114
4439;;6290;PLAÇA NOVA DE L´ESGLÉSIA, 3;;16 - BENICALAP;1 - BENICALAP;;39.49202757246699, -0.39102966646754517
4440;;6291;CARRER PERIODISTA GIL SUMBIELA, 72;;16 - BENICALAP;1 - BENICALAP;;39.493109084143136, -0.39039666497828834
4441;;6292;CARRER PERIODISTA GIL SUMBIELA, 72;;16 - BENICALAP;1 - BENICALAP;;39.49306768685964, -0.3902759658680102
4450;MEDITERRANEO;1119;AVINGUDA MANUEL DE FALLA 9ac;0;4 - CAMPANAR;4 - SANT PAU;;39.47579613890516, -0.4002934221212734
4451;MEDITERRANEO;1118;AVINGUDA MANUEL DE FALLA 9ac;0;4 - CAMPANAR;4 - SANT PAU;;39.47581326435377, -0.4001951509152295
4452;MEDITERRANEO;1117;AVINGUDA MANUEL DE FALLA 9ac;0;4 - CAMPANAR;4 - SANT PAU;;39.47584232880473, -0.40004947234178545
4454;MEDITERRANEO;1114;AVINGUDA MANUEL DE FALLA 8ac;0;4 - CAMPANAR;4 - SANT PAU;;39.47591009934039, -0.39971354798984704
4457;MEDITERRANEO;475;AVINGUDA CAMPANAR 22;22;4 - CAMPANAR;3 - EL CALVARI;;39.48658356160962, -0.3906414508829823
4459;MEDITERRANEO;460;CARRER MONESTIR DE POBLET 2ac.;4;4 - CAMPANAR;3 - EL CALVARI;;39.486355747374674, -0.3914852745555453
4462;VALENCIA;457;CARRER MONESTIR DE POBLET 4;4;4 - CAMPANAR;3 - EL CALVARI;;39.48619157636726, -0.3918607625734527
4464;PIEDRA;309;GRAN VIA GERMANIES 35;33;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46360301099869, -0.37638461859599015
4472;MEDITERRANEO;297;GRAN VIA GERMANIES 17;15;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46417757510251, -0.3750732787377109
4473;MEDITERRANEO;296;GRAN VIA GERMANIES 15;15;2 - L'EIXAMPLE;1 - RUSSAFA;;39.464265548000505, -0.3748615813959988
4475;PIEDRA;293;GRAN VIA GERMANIES 11;13;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46440868155086, -0.37456016458973757
4477;PIEDRA;290;GRAN VIA GERMANIES 8;10;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46472615110553, -0.3746207517470678
4480;PIEDRA;285;GRAN VIA GERMANIES 12;12;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46467654810289, -0.37479619882907866
4484;PIEDRA;281;GRAN VIA GERMANIES 14;12;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46460102397667, -0.3750074295189642
4485;PIEDRA;279;GRAN VIA GERMANIES 16;16;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46446066853628, -0.37526876058409253
4494;;4447;CARRER VICENT MARCO MIRANDA (POLÍTIC) 6;;10 - QUATRE CARRERES;3 - MALILLA;;39.44545769422882, -0.3742013111804876
4497;mediterraneo;4450;CAMÍ ASSAGADOR DEL MORRO 12;;10 - QUATRE CARRERES;3 - MALILLA;;39.44517130818937, -0.37203686205064185
4505;MEDITERRANEO;409;CARRER PERE III EL GRAN 34;34;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46294288123143, -0.3680459916225389
4506;MEDITERRANEO;396;AVINGUDA PERIS I VALERO 181;181;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46201431464931, -0.3640369682305367
4508;MEDITERRANEO;378;AVINGUDA PERIS I VALERO 59;59;2 - L'EIXAMPLE;1 - RUSSAFA;;39.457758394321154, -0.37422060655706674
4512;;6266;CARRER REUS, 37;;5 - LA SAIDIA;1 - MARXALENES;;39.48566889301964, -0.3791582436418279
4513;;6267;CARRER REUS, 37;;5 - LA SAIDIA;1 - MARXALENES;;39.48567303274628, -0.37921457077165227
4516;;6270;CARRER REUS, 35;;5 - LA SAIDIA;1 - MARXALENES;;39.48568131304282, -0.37947474512859597
4521;;6311;CARRER CASAS IBÁÑEZ, 11;;16 - BENICALAP;1 - BENICALAP;;39.49776638082864, -0.3877097172377489
4523;;6313;CARRER CASAS IBÁÑEZ, 5;;16 - BENICALAP;1 - BENICALAP;;39.49738865507512, -0.3875179398749168
4530;;6345;CARRER DOCTOR NICASI BENLLOCH, 54;;16 - BENICALAP;1 - BENICALAP;;39.49001298098348, -0.39429363565424824
4532;MEDITERRANEO;454;CARRER MONESTIR DE POBLET 10;10;4 - CAMPANAR;3 - EL CALVARI;;39.485913166663764, -0.39250094262631907
4533;MEDITERRANEO;650;AVINGUDA MENÉNDEZ PIDAL 11;11;4 - CAMPANAR;2 - LES TENDETES;;39.48074279702699, -0.3865445303027731
4535;MEDITERRANEO;647;CARRER MAURO GUILLÉN 5;3;4 - CAMPANAR;2 - LES TENDETES;;39.48216770930344, -0.3834104243899762
4536;MEDITERRANEO;642;AVINGUDA BURJASSOT 3;3;4 - CAMPANAR;2 - LES TENDETES;;39.482739201776155, -0.38218575258832505
4547;PIEDRA;535;CARRER SANT XAVIER 2;3;4 - CAMPANAR;1 - CAMPANAR;;39.482973020801545, -0.39289936168841244
4551;VALENCIA;525;PLAÇA PABLO PICASSO 6;6;4 - CAMPANAR;1 - CAMPANAR;;39.477361619701696, -0.3987257880771397
4552;MEDITERRANEO;522;CARRER MARQUÉS DE SANT JOAN 33;33;4 - CAMPANAR;1 - CAMPANAR;;39.477385624464674, -0.39911924833385765
4559;PIEDRA;270;GRAN VIA GERMANIES 24;24;2 - L'EIXAMPLE;1 - RUSSAFA;;39.4640469701452, -0.3763178098086367
4560;PIEDRA;269;GRAN VIA GERMANIES 24;26;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46401764137286, -0.37640617274586263
4564;PIEDRA;264;GRAN VIA GERMANIES 26;26;2 - L'EIXAMPLE;1 - RUSSAFA;;39.463929912736866, -0.3766076654178579
4566;SILLA MEDITERRANEO;816;CARRER SANT VICENT MÀRTIR 42ac;1;1 - CIUTAT VELLA;6 - SANT FRANCESC;;39.470965862480654, -0.3779115321579584
4567;SILLA MEDITERRANEO;815;CARRER MESTRE CLAVÉ 4ac;1;1 - CIUTAT VELLA;6 - SANT FRANCESC;;39.47109181786361, -0.3780801782444989
4575;SILLA MEDITERRANEO;798;CARRER EN SANÇ 5;4;1 - CIUTAT VELLA;6 - SANT FRANCESC;;39.47047692373754, -0.3788091384609577
4579;OTROS;950;CARRER TRIADOR 11;13;1 - CIUTAT VELLA;4 - EL PILAR;;39.4727761423648, -0.3820398952185679
4581;MEDITERRANEO;1232;CARRER ALMASSORA 42;44;5 - LA SAIDIA;3 - TRINITAT;;39.484294472275465, -0.37116465906250246
4589;PIEDRA;1013;PLAÇA COMTE DE BUNYOL 1;1;1 - CIUTAT VELLA;3 - EL CARME;;39.47671869383743, -0.37835372244244453
4592;OTROS;1196;CARRER ALBORAIA 51;51;5 - LA SAIDIA;3 - TRINITAT;;39.48521715263053, -0.3690439732574149
4595;MEDITERRANEO;114;PASSAGE QUESA 2ac;1;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47208803504406, -0.35603183042121517
4601;Banco de hormigón;6324;CARRER TORRENT, 35;;8 - PATRAIX;3 - VARA DE QUART;2022;39.46162031007151, -0.40225067676352466
4604;banco de madera con respaldo y apoyabrazos;6327;CARRER TORRENT, 35;;8 - PATRAIX;3 - VARA DE QUART;2022;39.46159028351682, -0.4019542930115587
4605;banco de madera con respaldo y apoyabrazos;6328;CARRER TORRENT, 35;;8 - PATRAIX;3 - VARA DE QUART;2022;39.46159235457206, -0.40191540070060233
4607;banco de hormigón;6330;CARRER TORRENT, 35;;8 - PATRAIX;3 - VARA DE QUART;2022;39.46163480576033, -0.40186578044901994
4611;banco hormigón;6334;CARRER TORRENT, 35;;8 - PATRAIX;3 - VARA DE QUART;2022;39.461598567421696, -0.4021688692142473
4612;banco de hormigón;6335;CARRER TORRENT, 35;;8 - PATRAIX;3 - VARA DE QUART;2022;39.46160063804634, -0.40211254387093964
4613;banco de hormigón;6336;CARRER TORRENT, 35;;8 - PATRAIX;3 - VARA DE QUART;2022;39.46166069119163, -0.4020361006968297
4614;banco de hormigón;6337;CARRER TORRENT, 35;;8 - PATRAIX;3 - VARA DE QUART;2022;39.46164205368606, -0.4020361002376387
4617;;6340;CARRER DOCTOR NICASI BENLLOCH, 74;;16 - BENICALAP;1 - BENICALAP;;39.49111004863501, -0.3959512416002973
4621;MEDITERRANEO;512;AVINGUDA MESTRE RODRIGO (MÚSIC) 12ac;0;4 - CAMPANAR;1 - CAMPANAR;;39.47798017476757, -0.3976462635596772
4625;MEDITERRANEO;939;CARRER SANT VICENT MÀRTIR 151;151;3 - EXTRAMURS;4 - ARRANCAPINS;;39.461966893748254, -0.3822029588162507
4626;ROMANTICO;924;AVINGUDA PÉREZ GALDÓS 10;10;3 - EXTRAMURS;4 - ARRANCAPINS;;39.46313331414351, -0.3870028991058983
4629;MEDITERRANEO;919;CARRER MARVÀ 23ac;25;3 - EXTRAMURS;4 - ARRANCAPINS;;39.463763397500855, -0.38416831237035115
4630;MEDITERRANEO;918;CARRER MARVÀ 27;27;3 - EXTRAMURS;4 - ARRANCAPINS;;39.463914305750066, -0.38460348447459203
4632;MEDITERRANEO;915;CARRER SALAS QUIROGA 6;9;3 - EXTRAMURS;4 - ARRANCAPINS;;39.4651566900326, -0.38519945655804005
4633;OTROS;905;CARRER SALAS QUIROGA 8;9;3 - EXTRAMURS;4 - ARRANCAPINS;;39.465308808500794, -0.38555043477959206
