"Barrio"	"Distrito"	"Indice_Vuln"	"Areas de barrios"	"Zones verd"	"Densitat_p"	"turismes_e"	"atur_16_64"	"renda_mitj"	"risc_pobre"	"Index_Equi"	"Index_Soci"	"Index_Glob"	"Num_bancos"	"Precio_2022 (Euros/m2) de compra"	"Precio_2010 (Euros/m2) de compra"	"Precio_2022 (Euros/m2) de alquiler"	"Precio_2010 (Euros/m2) de alquiler"	"Importe Recibos personalidad F"	"Importe Recibos personalidad J"	"Importe Recibos sin personalidad"	"Imp.Recibos Actv.Almacen-Estacionamiento"	"Imp. Recibos Actv. Comercial"	"Imp. Recibos Actv. Cultural"	"Imp. Recibos Actv. Deportiva"	"Imp.Recibos Actv.Edificio singular"	"Imp. Recibos Actv. Espectaculos"	"Imp. Recibos Actv. Industrial"	"Imp.Recibos Actv.Obras urbanizacion"	"Imp.Recibos Actv.Ocio y Hosteleria"	"Imp. Recibos Actv. Oficinas"	"Imp. Recibos Actv. Religiosas"	"Imp. Recibos Actv. Residencial"	"Imp.Recibos Actv.Sanidad y Beneficiencia"	"Importe Recibos totales"
"68"	"NATZARET"	"POBLATS MARITIMS"	"No Vulnerable"	917112.5625	1766	64428.16	14.27	93.61	7990.4	38	3.06	1.41	2.45	35	1161	1315	10.2	6.4	639915.95	166412.07	3200.44	34111.94	45641.45	5121.12	362.62	2368.93	693.24	21097.57	98934.5	1099.43	2320.52	343.25	570359.04	27074.85	809528.46
"69"	"NOU MOLES"	"L'OLIVERETA"	"Vulnerable"	NA	1906	873410	12.44	233.96	10560.1	24.98	3.18	2.62	2.79	78	1617	1162	8.6	6	4067171.33	1511515.29	19564.8	410833.23	477014.49	11318.49	1938.38	941301.45	8090.21	59835.04	27251.06	6214.47	109174.3	5274.03	3533587.02	6419.25	5598251.42
"70"	"PATRAIX"	"PATRAIX"	"Vulnerable"	621304.8125	2012	789312.14	11.7	183.54	12073	19.18	3.3	3.22	3.1	127	1918	1408	8	6	4642638.36	665566.8	35327.34	451579.11	685607.07	18433.92	3665.81	0	0	46848.36	13986.16	4914.44	92464.32	11489.89	3990340.44	24202.98	5343532.5
"71"	"PENYA-ROJA"	"CAMINS AL GRAU"	"No Vulnerable"	911135.875	3984	96327.78	9.04	32.07	18247.5	11.03	2.79	4.61	3.7	53	3429	1898	9.8	6.7	4283959.87	3894644.5	124465.61	670312.18	2285930.01	25945.91	50082.4	0	0	27500.2	109544.73	823072.62	93680.02	0	4216517.19	484.72	8303069.98
"72"	"PINEDO"	"POBLATS DEL SUD"	"Pot. Vulnerable"	NA	255	3176.68	11.99	19.01	11227	16.95	1.61	3.07	2.68	51	NA	NA	NA	NA	491328.87	84495.88	659.06	26361.65	29914.73	11157.17	10216	279.01	18053.63	42008.6	7253.69	38957.92	7556.72	0	384776.91	651.38	577187.41
"73"	"POBLE NOU"	"POBLATS DEL NORD"	"No Vulnerable"	NA	384	306.67	12.68	9.97	9594	28.4	1.73	2.5	2.74	NA	NA	NA	NA	NA	178294.9	55676.78	535.38	8377.19	1942.11	0	161.653333333333	0	0	64820.72	13555.07	0	1555.14	0	144173.59	0	234507.06
"74"	"RAFALELL-VISTABELLA"	"POBLATS DEL NORD"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	"RUSSAFA"	"L'EIXAMPLE"	"No Vulnerable"	877703.1875	1683	739107.69	12.35	199.97	13957.05	19.02	2.97	3.55	3.11	189	2738	2106	10.6	6.8	5848008.23	1521687.73	50378.1	646060.82	1317714.73	61756.75	41485.17	712.11	3987	58391.3	24368.24	38451.05	170337.95	4596.8	5041407.02	10805.12	7420074.06
"76"	"SAFRANAR"	"PATRAIX"	"No Vulnerable"	441265.78125	2829	154920.98	10.88	54.89	11679.83	15.5	3.21	3.47	3.38	32	1791	1408	8	6	1738077.32	321012.03	22908.18	131063.96	239085.32	1098.29	0	0	0	26275.73	113809.97	0	51672.95	1208.29	1515253.98	2529.04	2081997.53
"77"	"SANT ANTONI"	"LA SAIDIA"	"No Vulnerable"	249734.09375	741	243542.05	11.51	59.96	12121	18.5	3.27	3.29	3.17	8	1709	1755	7.2	6.2	1651026.72	280918.93	17519.88	195445.79	236544.36	17072.16	11988.71	0	0	26760.61	7202.29	7944.52	18772.99	0	1419309.12	8424.98	1949465.53
"78"	"SANT FRANCESC"	"CIUTAT VELLA"	"No Vulnerable"	438658.3125	1124	63168.37	12.03	26.13	23419	11.3	2.86	4.41	3.39	209	3417	2395	12	7.1	3867931.2	7943384.19	308298.88	472883.96	4185348.44	16382.42	0	220424.71	167954.55	35863.08	8456.85	657621.96	2961485.9	0	3391789.45	1402.95	12119614.27
"79"	"SANT ISIDRE"	"PATRAIX"	"No Vulnerable"	495220.5625	1884	225687.62	11.5	64.97	10299	18.97	3.21	3	3.31	51	1655	1408	8	6	1576475.33	302331.89	6608.06	133503.15	171669.81	22929.78	15353.81	10869.94	0	66544.09	41582.06	0	14542.42	0	1408420.22	0	1885415.28
"80"	"SANT LLORENS"	"RASCANYA"	"No Vulnerable"	NA	3171	123050.17	9.87	45.18	14834.14	10.16	2.92	4.16	3.68	102	2594	1771	9.6	6.3	2723947.71	1209889.41	36036.3	343372.63	747494.85	325.753333333333	291521.61	23520.53	13668.59	21074.71	52733.12	533.32	109109.05	0	2365131.84	735.91	3969873.42
"81"	"SANT MARCEL.LI"	"JESUS"	"Pot. Vulnerable"	330438.1875	1471	328219.48	12.59	112.86	9398.89	25.6	2.95	2.14	2.7	79	1441	1472	7.3	5.6	1267456.25	93179.7	40354.11	115068.04	119764.15	13488.97	1061.17	18848.91	0	3570.22	8803.4	0	2491.09	0	1104828.06	13066.05	1400990.06
"82"	"SANT PAU"	"CAMPANAR"	"No Vulnerable"	NA	4472	75840.25	9.59	35.49	15150.83	13.23	2.63	4.16	3.45	293	3032	2455	10.3	9.2	4347270.85	2308426.48	60254.62	760687.59	995126.16	20584.62	5730.56	28965.15	0	211929.8	59504.16	6298.16	156443.3	0	3921944.35	548738.1	6715951.95
"83"	"SOTERNES"	"L'OLIVERETA"	"No Vulnerable"	NA	831	93263.82	12.48	55.28	9929.75	23.88	3.18	2.33	2.74	16	1631	1162	8.6	6	644695.55	147163.73	7407.83	55591.21	57305.47	3823.01	0	837.43	0	93237.8	2934.02	0	14826.5	326.74	570384.93	0	799267.11
"84"	"TORMOS"	"LA SAIDIA"	"Pot. Vulnerable"	279952	1065	201119.02	12.63	72.7	9345.5	30.27	3.48	2.37	2.97	29	1550	1755	8.4	6.2	1122924.49	278207.58	9562.63	128984.74	128835.53	20987.49	116387.99	0	0	8441.32	6582.56	3350.4	10732.33	383.35	986008.99	0	1410694.7
"85"	"TORREFIEL"	"RASCANYA"	"Vulnerable"	713292.625	1982	735759.86	12.31	237.09	8804	30.32	3.07	2.19	2.75	214	1428	1771	3	6.3	3134686.72	457260.43	11286.5	319974.42	360584.8	7528.81	3287.59	5742.7	357.766666666667	70804.47	17778.62	1340.36	43966.48	648.06	2753991.85	15950.2	3603233.65
"86"	"TRES FORQUES"	"L'OLIVERETA"	"Pot. Vulnerable"	526901.25	2067	202741.02	14.02	99.75	8583	33.59	3.54	1.71	2.67	64	1332	1162	8.6	6	821495.05	217989.57	1569.01	47093.66	32934.65	968.75	66118.06	366.28	0	10634.19	17503.15	120.58	32071.72	625.65	832616.94	0	1041053.63
"87"	"TRINITAT"	"LA SAIDIA"	"No Vulnerable"	595678.6875	4402	148909.56	12.18	65.29	12704	20.6	3.47	3.23	3.11	141	2699	1755	8.4	6.2	1496816.48	530334.34	37447.16	169302.88	267889.43	21195.41	99575.67	6607.53	0	8396.02	11956.58	0	94551.96	1448.82	1343651.74	40021.94	2064597.98
"88"	"VARA DE QUART"	"PATRAIX"	"Pot. Vulnerable"	NA	1770	357927.44	11.47	85.05	11477.13	18.58	3.01	3.06	3.12	43	1616	1408	7.4	6	2003964.49	1193791.06	20294.24	158550.43	292348.02	0	7757.2	0	0	876392.34	73912.1	6254.56	368998.62	1295.27	1412886.86	19654.39	3218049.79
