"Barrio"	"Distrito"	"Indice_Vuln"	"Areas de barrios"	"Zones verd"	"Densitat_p"	"turismes_e"	"atur_16_64"	"renda_mitj"	"risc_pobre"	"Index_Equi"	"Index_Soci"	"Index_Glob"	"Num_bancos"	"Precio_2022 (Euros/m2) de compra"	"Precio_2010 (Euros/m2) de compra"	"Precio_2022 (Euros/m2) de alquiler"	"Precio_2010 (Euros/m2) de alquiler"	"Importe Recibos personalidad F"	"Importe Recibos personalidad J"	"Importe Recibos sin personalidad"	"Imp.Recibos Actv.Almacen-Estacionamiento"	"Imp. Recibos Actv. Comercial"	"Imp. Recibos Actv. Cultural"	"Imp. Recibos Actv. Deportiva"	"Imp.Recibos Actv.Edificio singular"	"Imp. Recibos Actv. Espectaculos"	"Imp. Recibos Actv. Industrial"	"Imp.Recibos Actv.Obras urbanizacion"	"Imp.Recibos Actv.Ocio y Hosteleria"	"Imp. Recibos Actv. Oficinas"	"Imp. Recibos Actv. Religiosas"	"Imp. Recibos Actv. Residencial"	"Imp.Recibos Actv.Sanidad y Beneficiencia"	"Importe Recibos totales"
"16"	"CARPESA"	"POBLATS DEL NORD"	"Pot. Vulnerable"	NA	120	525.81	12.13	12.32	10829	20.4	1.67	2.56	2.5	14	NA	NA	NA	NA	245482.23	36637.47	0	15405.97	2447.77	0	1662.52	2800.26	0	32296.22	19691.49	2290.13	6760.3	0	198765.04	0	282119.7
"17"	"CASTELLAR-L'OLIVERAL"	"POBLATS DEL SUD"	"Pot. Vulnerable"	NA	683	32331.69	11.95	55.83	9940.6	20.96	1.71	2.56	2.5	39	NA	NA	NA	NA	1212422.71	72682.75	2918.2	98017.2	50455.28	1191.51	10343.06	10469.37	3246.91	66353.08	50723.77	753.41	5176.83	0	989327.3	1965.94	1288023.66
"18"	"CIUTAT DE LES ARTS I DE LES CIENCIES"	"QUATRE CARRERES"	"No Vulnerable"	989231.125	2693	91092.71	9.65	20.46	15245	14.17	2.81	4.2	3.56	167	2638	1166	9.9	7.1	2111882.81	5036554.11	30557.82	395104.52	697589.88	470265.71	412291.55	1194289.16	1441549.17	249.2	42621.31	162883.68	373707.43	11223.27	1951343.98	25875.88	7178994.74
"19"	"CIUTAT FALLERA"	"BENICALAP"	"Vulnerable"	NA	2135	85896.55	13.09	53.78	7679	34.63	2.58	1.61	2.45	55	1301	1826	8.7	5.8	628507.55	76316.62	481.34	29092.68	45024.56	8370.75	2810.24	0	0	43719.8	7284.05	1744.81	25480.6	512.82	539036.7	2228.5	705305.51
"20"	"CIUTAT JARDI"	"ALGIROS"	"No Vulnerable"	NA	2603	33658.94	117.21	9.66	13674.2	18.05	2.93	3.43	3.14	43	2118	1976	9.2	6.7	2694468.24	300100.6	21842.18	191654.17	254305.89	8510.96	5940.76	0	0	3860.62	3331.97	1856.44	45580.01	0	2498394.16	2976.04	3016411.02
"21"	"CIUTAT UNIVERSITARIA"	"EL PLA DEL REAL"	"No Vulnerable"	276959.21875	980	26332.24	11.24	11.98	17236.5	11.15	3.15	4.44	3.58	9	2395	2098	10	6.9	789259.41	315651.27	12074.67	66006.08	97300.62	0	0	0	0	19069.24	2264.53	16667.93	68614.14	0	728720.11	118342.7	1116985.35
"22"	"EL BOTANIC"	"EXTRAMURS"	"No Vulnerable"	370115.59375	1372	120479.11	12.43	50.47	14737.8	18.18	3.4	3.59	3.37	17	2410	1794	10	6.3	1623296.97	451089.33	62683.29	185496.31	278651.21	7350.93	1282.27	0	0	12372.04	24004.47	16003.43	192743.25	625.02	1393985.87	24554.79	2137069.59
"23"	"EL CALVARI"	"CAMPANAR"	"Vulnerable"	93682.34375	229	210605.42	13.42	53.82	9038.5	33.2	2.63	1.88	2.28	24	1808	2455	9	9.2	542035	74541.9	26582.71	52581.65	72315.93	462.61	0	0	0	7750.2	22.8466666666667	8284.21	2826.25	0	498870.22	0	643159.61
"24"	"EL CARME"	"CIUTAT VELLA"	"No Vulnerable"	384067.875	1247	120966.62	12.14	51.75	13156.93	21.15	3.6	3.33	3.39	73	2577	2395	11.5	7.1	1192342.56	550119.82	9855.81	117605.04	195113.73	9515.55	1811.01	27984.05	0	35093.67	26200.92	25015.24	117785.55	9787.42	1144889.68	41516.33	1752318.19
"25"	"EL FORN D'ALCEDO"	"POBLATS DEL SUD"	"No Vulnerable"	NA	228	1035.07	11.46	12.61	9159	22.5	2.1	2.64	2.72	22	NA	NA	NA	NA	321943.67	493713.6	83.9666666666667	12537.93	65609.8	636.3	115.98	805.49	0	507089.55	47951.72	0	38090.58	0	142062.33	883.54	815783.22
"26"	"EL GRAU"	"POBLATS MARITIMS"	"No Vulnerable"	NA	900	176988.02	12.12	90.06	10435.29	24.99	3.06	2.8	3	27	1969	1315	10.2	6.4	1468509.29	712433.44	22399.44	165260.16	173256.95	3267.55	2886.71	0	3163.25	91380.78	155654.54	25624.56	257477.88	317.5	1312626.87	12425.42	2203342.17
"27"	"EL MERCAT"	"CIUTAT VELLA"	"No Vulnerable"	172795.21875	202	64218.03	11.9	18.15	14704	19.43	2.97	4.01	3.5	53	2757	2395	12.7	7.1	1198246.68	789110.19	17027.54	116345.85	313764.09	73381.23	675.44	41931.86	0	14512.42	8925.83	82514.01	118623.98	0	1233709.7	0	2004384.41
"28"	"EL PALMAR"	"POBLATS DEL SUD"	"No Vulnerable"	NA	162	20.43	10.49	5.94	10603	10.8	1.7	3.56	2.85	11	NA	NA	NA	NA	170545.11	48042.49	0	4624.37	10319.43	153.73	7160.87	1040.44	0	16233.46	6037.89	37613.11	798.58	0	134605.72	0	218587.6
"29"	"EL PERELLONET"	"POBLATS DEL SUD"	"No Vulnerable"	NA	857	279.62	11.4	7.73	14428	18.6	1.47	3.69	2.96	24	NA	NA	NA	NA	1617263.61	137905.68	51692.96	73193.67	19786.44	0	41888.76	1468.49	3234.31	8617.23	59859.67	11974.99	0	0	1586838.69	0	1806862.25
"30"	"EL PILAR"	"CIUTAT VELLA"	"No Vulnerable"	161606.15625	132	89514.69	12.52	28.52	14331	20.63	3.09	3.55	3.29	36	2533	2395	10.4	7.1	855655.01	474662.84	31880.48	158656.83	171964.6	3956.49	0	16863.68	0	4783.36	27310.47	12980.07	46015.05	0	882034.75	37633.03	1362198.33
"31"	"EL PLA DEL REMEI"	"L'EIXAMPLE"	"No Vulnerable"	386917.84375	843	130251.2	11.9	22.23	25795.29	7.1	3.02	4.61	3.51	70	4029	2106	11.2	6.8	4983422.6	4432041.65	139943.24	741917.07	2047910.69	59660.48	5072.77	106461.01	0	1118.07	6337.2	178988.06	2008107.92	1537.29	4323406.05	74890.88	9555407.49
"32"	"EL SALER"	"POBLATS DEL SUD"	"No Vulnerable"	NA	201	222.61	10.94	5.74	14540	17.9	1.28	4.14	3.09	89	NA	NA	NA	NA	763301.55	256954.94	9529.15	38374.1	95914.97	13942.87	92955.52	4936.8	2548.25	4675.33	3846.45	12339.27	373.66	0	759167.65	710.77	1029785.64
"33"	"ELS ORRIOLS"	"RASCANYA"	"Vulnerable"	NA	1025	781164.24	13.47	195.36	7921.79	36.52	3.13	1.75	2.52	151	1170	1771	8.7	6.3	1661614.01	189739.04	12634.46	116114.85	151906.59	20128.59	1402.52	0	2296.92	19693.06	11907.38	987.73	10650.06	3347.64	1513719.96	11832.21	1863987.51
"34"	"EN CORTS"	"QUATRE CARRERES"	"Vulnerable"	364026.1875	1109	394814.87	12.48	109.1	9904.22	28.73	2.92	2.6	2.73	39	1950	1166	8.8	7.1	1769097.97	220528.27	12774.09	164651.52	170415.24	21829.52	3286.8	0	0	17998.23	15511.68	6140.88	23561.49	0	1574114.72	4890.25	2002400.33
"35"	"EXPOSICIO"	"EL PLA DEL REAL"	"No Vulnerable"	381609.6875	2164	90686.1	11.7	30.81	21028.8	8.3	3.37	4.53	3.62	42	3342	2098	11	6.9	2691975.86	1050962.17	74099.19	312840.39	295000.23	46992.86	4011.44	0	0	28611.91	3909.01	18534.2	500442.26	0	2534296.68	72398.24	3817037.22
"36"	"FAITANAR"	"POBLATS DEL SUD"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	231964.89	387075.86	0	16582.11	16767	0	57506.8	0	0	39929.12	134713.09	1235.39	62473.87	341.15	289492.22	0	619040.75
"37"	"FAVARA"	"PATRAIX"	"No Vulnerable"	280250.5625	617	40679.63	11.7	21.25	10568.5	23.45	2.7	2.93	3.02	24	1550	1408	8	6	574681.23	179195.91	2221.66	75344.35	68993.14	553.29	0	0	0	19192.42	17275.06	0	18978.78	0	504860.6	50901.16	756098.8
"38"	"JAUME ROIG"	"EL PLA DEL REAL"	"No Vulnerable"	190800.90625	517	217088.67	11.59	34.06	20308.28	8.28	2.79	4.41	3.32	17	2772	2098	9.2	6.9	2477965.29	304843.72	92329.25	148982.01	191426.72	13571.49	3581.12	18623.71	0	3620.02	846.57	0	129191.89	0	2365294.73	0	2875138.26
"39"	"L'AMISTAT"	"ALGIROS"	"Pot. Vulnerable"	207274.85938	1443	36064.61	76.11	11.41	11989.5	23.08	3.49	2.88	3.04	134	1946	1976	9.4	6.7	1279259.75	96400.91	12504.38	75084.36	124589.9	5768.28	1473.95	0	0	2399.12	1583.09	230.096666666667	14715.01	405.72	1152034.72	9420.6	1388165.04
"40"	"L'HORT DE SENABRE"	"JESUS"	"Pot. Vulnerable"	426354.3125	1101	542861.41	11.99	130.98	10217.42	22.81	2.8	2.59	2.78	81	1474	1472	7.9	5.6	2416721.71	237778.02	10198.91	178101.29	354587.43	17079.37	3023.85	2678.78	101.3	22002.49	8098.99	1800.97	11295.56	1441.44	2051957.62	12326.95	2664698.64
"41"	"L'ILLA PERDUDA"	"ALGIROS"	"Vulnerable"	231529.1875	1342	38936.13	72.54	11.15	11630.5	17.47	3.18	2.82	3	35	2094	1976	9.4	6.7	1290154.45	142469.55	21997.31	93478.33	136751.04	24536.07	0	18763.97	0	3886.29	0	0	18302.87	0	1127935.24	30967.5	1454621.31
"42"	"LA CARRASCA"	"ALGIROS"	"No Vulnerable"	NA	5010	12613.3	22.85	6.85	15884	12.8	3.06	4.06	3.66	34	2566	1976	9.4	6.7	863792.19	365920.72	6323.7	105109.28	114838.48	134874.15	18752.74	0	4147.7	21832.86	10395.4	1067.79	20111.94	0	804906.27	0	1236036.61
"43"	"LA CREU COBERTA"	"JESUS"	"No Vulnerable"	374887.53125	446	96642.98	11.87	46.31	10646.75	22.58	2.72	2.72	2.98	10	1545	1472	7.9	5.6	862762.22	268274.54	14308.51	72247.05	126479.17	12519.85	2195.84	1248.39	0	91916.42	91932.32	1428.78	5705.44	1673.09333333333	733219.47	0	1145345.27
"44"	"LA CREU DEL GRAU"	"CAMINS AL GRAU"	"Vulnerable"	391657.90625	1794	519918.02	12.56	133.85	9622.3	27.31	3.44	2.33	2.87	78	1856	1898	9.3	6.7	2025181.73	550330.64	19979.16	198201.56	285491.66	3400.79	894.86	0	493	26563.37	21440.22	171801.95	60325.61	645.83	1808279.57	17953.11	2595491.53
"45"	"LA FONTETA S.LLUIS"	"QUATRE CARRERES"	"No Vulnerable"	238826.73438	308	28676.24	12.88	27.8	8301	31.35	2.38	2.35	2.76	9	1370	1166	8.8	7.1	374267.16	80222.41	4263.46	36338.21	25187.85	0	0	0	0	10653.63	20676.07	44905.37	3552.52	467.23	312699.4	3338.29	458753.03
"46"	"LA FONTSANTA"	"L'OLIVERETA"	"Pot. Vulnerable"	NA	1284	26090.02	14.84	35.99	7145	41.65	3.65	1.22	2.6	25	1103	1162	8.6	6	274909.37	372807.15	5620.01	45702.63	20823.68	0	0	105	0	2409.26	1450.37	0	65.79	450.003333333333	267672.14	314769.19	653336.53
"47"	"LA GRAN VIA"	"L'EIXAMPLE"	"No Vulnerable"	468568.0625	2642	330005.18	12	69.59	19431.5	9.1	3.11	4.41	3.41	21	3237	2106	10.8	6.8	4300894.05	1228577.56	53498.22	465862.56	1003578.73	16166.63	6677.75	575.66	55128.91	53476.31	1420.85333333333	3850.245	106379.84	0	3858017.52	6007	5582969.83
